species_name,original_predictors,select_variables,original.n,original.n.back,buffer_type,dist_buf,seed,res.x,res.y,clean_dupl,clean_nas,clean_uni,geo_filt,geo_filt_dist,models_dir,partition,boot_proportion,boot_n,cv_partitions,cv_n,selected_predictors,final.n,final.n.back
Argoravinia aurea,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,25,250,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,21,250
Argoravinia rufiventris,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,48,480,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,40,480
Blaesoxipha (Gigantotheca) plinthopyga,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,12,120,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,9,120
Chrysagria duodecimpunctata,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,10,100,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3_surto,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,9,100
Dexosarcophaga (Bezzisca) ampullula,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,22,220,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,16,220
Dexosarcophaga (Dexosarcophaga) transita,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,48,480,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,35,480
Dexosarcophaga (Farrimyia) carvalhoi,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,37,370,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,21,370
Dexosarcophaga (Farrimyia) globulosa,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,19,190,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,18,190
Engelimyia inops,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,39,390,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,35,390
Helicobia aurescens,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,44,440,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,39,440
Helicobia morionella,wc2.1_10m_bio_1-wc2.1_10m_bio_2-wc2.1_10m_bio_3-wc2.1_10m_bio_4-wc2.1_10m_bio_5-wc2.1_10m_bio_6-wc2.1_10m_bio_7-wc2.1_10m_bio_10-wc2.1_10m_bio_11-wc2.1_10m_bio_12-wc2.1_10m_bio_13-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_bio_16-wc2.1_10m_bio_17-wc2.1_10m_elev,TRUE,27,270,mean,NA,512,0.167,0.167,TRUE,TRUE,TRUE,FALSE,NA,./cap3,crossvalidation,0.7,1,5,2,wc2.1_10m_bio_2-wc2.1_10m_bio_4-wc2.1_10m_bio_10-wc2.1_10m_bio_14-wc2.1_10m_bio_15-wc2.1_10m_elev,24,270
