Appendix S1. Occurrence data for the 73 sarcophagid species used in this study . Empty cells are missing data (i.e. were absent in specimens labels or method description).,,,,,,,,,,,,,,,,,,,,,,
Country,State_or_Province,Municipality,Locality,Latitude,Longitude,Species_name,,Method (Collecting information),Determiner,Collector,Data,Reference,Remarks,Original genus,Original species,Modified,Source of data,Qualifier ,Uncertanty (m),Coordinate validity,Equal longitude and latitude ,Plain zeros 
Brasil,MG,Alvarenga,Pico da Aliança,-19.394979,-41.669324,Oxysarcodexia thornax,, ,"Gomes, M.M.",D.P. Cordeiro,09.v.2021, ,1400m,Oxysarcodexia,thornax,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Conselheiro Pena,"Serra do Padre Ângelo, 1º plato",-19.31276,-41.5774,Dexosarcophaga (Farrimyia) carvalhoi,, ,"Gomes, M.M.",D.P. Cordeiro,14.iii.2021, ,1250m,Dexosarcophaga,carvalhoi,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Alvarenga,Pico da Aliança,-19.394979,-41.669324,Peckia (Euboettcheria) anguilla,, ,"Gomes, M.M.",D.P. Cordeiro,09.v.2021, ,1400m,Peckia,anguilla,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Alvarenga,Pico da Aliança,-19.394979,-41.669324,Titanogrypa (Cucullomyia) larvicida,, ,"Gomes, M.M.",D.P. Cordeiro,09.v.2021, ,1400m,Titanogrypa,larvicida,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Conselheiro Pena,"Serra do Padre Ângelo, pico",-19.31964,-41.57881,Dexosarcophaga (Dexosarcophaga) transita,, ,"Gomes, M.M.",D.P. Cordeiro,14.iii.2021, ,1500m,Dexosarcophaga,transita,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Alvarenga,Pico da Aliança,-19.394979,-41.669324,Dexosarcophaga (Dexosarcophaga) transita,, ,"Gomes, M.M.",D.P. Cordeiro,09.v.2021, ,1400m,Dexosarcophaga,transita,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Conselheiro Pena,"Serra do Padre Ângelo, pico",-19.31964,-41.57881,Peckia (Sarcodexia) lambens,, ,"Gomes, M.M.",D.P. Cordeiro,14.iii.2021, ,1500m,Peckia,lambens,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Conselheiro Pena,"Mirante da Bela adormecida, Palha branca",-19.337707,-41.557369,Dexosarcophaga (Farrimyia) carvalhoi,, ,"Gomes, M.M.",D.P. Cordeiro,30.i.2021, ,1080m,Dexosarcophaga,carvalhoi,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Alvarenga,Pico da Aliança,-19.394979,-41.669324,Oxysarcodexia avuncula,, ,"Gomes, M.M.",D.P. Cordeiro,09.v.2021, ,1400m,Oxysarcodexia,avuncula,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Conselheiro Pena,"Mirante da Bela adormecida, Palha branca",-19.337707,-41.557369,Dexosarcophaga (Dexosarcophaga) transita,, ,"Gomes, M.M.",D.P. Cordeiro,30.i.2021, ,1080m,Dexosarcophaga,transita,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Alvarenga,"Vista Alegre, Pedra",-19.41995,-41.69544,Dexosarcophaga (Dexosarcophaga) transita,, ,"Gomes, M.M.",D.P. Cordeiro,01.ii.2021, , ,Dexosarcophaga,transita,no,INMA,Poor,9.41,TRUE,TRUE,TRUE
Brasil,MG,Alvarenga,Pico da Aliança,-19.394979,-41.669324,Lipoptilocnema crispina,, ,"Gomes, M.M.",D.P. Cordeiro,09.v.2021, ,1400m,Lipoptilocnema,crispina,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Conselheiro Pena,"Serra do Padre Ângelo, pico",-19.31964,-41.57881,Lepidodexia (Notochaeta) cognata,, ,"Gomes, M.M.",D.P. Cordeiro,14.iii.2021, ,1500m,Lepidodexia,cognata,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Alvarenga,"Vista Alegre, Pedra, área das Vellorzia gigantea",-19.397404,-41.558495,Dexosarcophaga (Dexosarcophaga) transita,, ,"Gomes, M.M. & Santos, J.R.",D.P. Cordeiro,27.ii.2021, ,900m,Dexosarcophaga,transita,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Alvarenga,Pico da Aliança,-19.394979,-41.669324,Helicobia pilifera,, ,"Gomes, M.M.",D.P. Cordeiro,09.v.2021, ,1400m,Helicobia,pilifera,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,MG,Conselheiro Pena,"Serra do Padre Ângelo, pico",-19.31964,-41.57881,Helicobia pilifera,, ,"Gomes, M.M.",D.P. Cordeiro,14.iii.2021, ,1500m,Helicobia,pilifera,no,INMA,Excellent, ,TRUE,TRUE,TRUE
Brasil,PE,Fernando de Noronha,Capim-Açu,-3.85472,-32.44056,Oxysarcodexia thornax,,Malaise,"Gomes, M.M.","J.A. Rafael , F. Limeira-de-Oliveira, L.C. Castro",9-27.xii.2019, ,Malaise Grande,Oxysarcodexia,thornax,no,INPA,Fine, ,TRUE,TRUE,TRUE
Brasil,PE,Fernando de Noronha,Capim-Açu,-3.85472,-32.44056,Tricharaea (Sarcophagula) occidua,,Malaise,"Gomes, M.M.","J.A. Rafael , F. Limeira-de-Oliveira, L.C. Castro",9-27.xii.2019, ,Malaise Grande,Tricharaea,occidua,no,INPA,Fine, ,TRUE,TRUE,TRUE
Brasil,PE,Fernando de Noronha,Capim-Açu,-3.85472,-32.44056,Helicobia morionella,,Malaise,"Gomes, M.M.","J.A. Rafael , F. Limeira-de-Oliveira, L.C. Castro",8-27.x.2019, ,Malaise Grande,Helicobia,morionella,no,INPA,Fine, ,TRUE,TRUE,TRUE
Brasil,PE,Fernando de Noronha,Capim-Açu,-3.85472,-32.44056,Peckia (Peckia) chrysostoma,,Malaise,"Gomes, M.M.","J.A. Rafael , F. Limeira-de-Oliveira, L.C. Castro",11-27.xi.2019, ,Malaise Grande,Peckia,chrysostoma,no,INPA,Fine, ,TRUE,TRUE,TRUE
Brasil,RJ,Angra dos Reis,Japuhyba,-22.9747,-44.2992,Argoravinia rufiventris,, ,J.H. Guimarães, , , ,20,Argoravinia,modesta,yes,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,PA,Belém,Ananindeua,-1.37,-48.38,Argoravinia rufiventris,, , ,Damasceno,30.x.1936, , ,Argoravinia,modesta,yes,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,SC,Nova Teutônia, ,-27.18333,-52.38333,Argoravinia rufiventris,, ,H.S. Lopes,Fritz Plaumann,iii.1967, ,300-500m,Argoravinia,rufiventris,no,MZUSP,Excellent, ,TRUE,TRUE,TRUE
Brasil,ES,Itaguaçu, ,-19.72844,-40.86457,Argoravinia rufiventris,, ,H.S. Lopes,P.C. Elias,x.1970, , ,Argoravinia,rufiventris,no,MZUSP,Poor,13.05,TRUE,TRUE,TRUE
Brasil,ES,Baixo Guandu, ,-19.56988,-40.98284,Argoravinia rufiventris,, ,H.S. Lopes,P.C. Elias,ix.1970, , ,Argoravinia,rufiventris,no,MZUSP,Poor,17.08,TRUE,TRUE,TRUE
Brasil,SP,Barueri, ,-23.50528,-46.87725,Chrysagria duodecimpunctata,, ,H.S. Lopes,V. Lenkoi,28.x.1954, ,297,Chrysagria,duodecimpuctata,no,MZUSP,Poor,4.57,TRUE,TRUE,TRUE
Brasil,RS,Pelotas, ,-31.58117,-52.34116,Chrysagria duodecimpunctata,, ,H.S. Lopes,Biezanko,25.iii.1961, , ,Chrysagria,duodecimpuctata,no,MZUSP,Poor,22.64,TRUE,TRUE,TRUE
Brasil,SP,São Paulo,Horto Florestal,-23.4628,-46.6311,Chrysagria duodecimpunctata,, ,H.S. Lopes,M. Cassera,xii.1940, , ,Chrysagria,duodecimpuctata,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,ES,Baixo Guandu, ,-19.56988,-40.98284,Titanogrypa (Cucullomyia) larvicida,, ,H.S. Lopes,P.C. Elias,ix.1970, , ,Titanogrypa,larvicida,no,MZUSP,Poor,17.08,TRUE,TRUE,TRUE
Brasil,RJ,Rio de Janeiro,Jardim Botânico,-22.92322,-43.45093,Titanogrypa (Cucullomyia) larvicida,, , ,H.S. Lopes,x.1985, ,41,Titanogrypa,larvicida,no,MZUSP,Poor,19.55,TRUE,TRUE,TRUE
Brasil,RJ,Três Rios, ,-22.12407,-43.11421,Dexosarcophaga (Farrimyia) globulosa,, ,H.S. Lopes,S. Lopes,27.xi.1938, ,Parátipo; 50,Dexosarcophaga,globulosa,no,MZUSP,Poor,10.2,TRUE,TRUE,TRUE
Brasil,SC,Nova Teutônia, ,-27.18333,-52.38333,Dexosarcophaga (Dexosarcophaga) transita,, , ,Fritz Plaumann,iv.1971, ,300-500m,Dexosarcophaga,transita,no,MZUSP,Excellent, ,TRUE,TRUE,TRUE
Brasil,RJ,Teresópolis, ,-22.314,-42.87382,Dexosarcophaga (Dexosarcophaga) transita,, , ,Trav e Freitas,i.1940, , ,Dexosarcophaga,transita,no,MZUSP,Poor,15.66,TRUE,TRUE,TRUE
Brasil,RJ,Angra dos Reis,Japuhyba,-22.9747,-44.2992,Dexosarcophaga (Dexosarcophaga) transita,, , ,J. Lane e Lopes,23.iii.1940, ,49,Dexosarcophaga,transita,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,GO,Cabeceiras,Lagoa Formosa,-15.7956,-46.9267,Dexosarcophaga (Dexosarcophaga) transita,, , , ,26-28.x.1964, ,Exp. Depto. Zool.,Dexosarcophaga,transita,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,MS,Corumbá, ,-18.73121,-56.72372,Dexosarcophaga (Dexosarcophaga) transita,, , ,Frei Vallete,iii.1956, , ,Dexosarcophaga,transita,no,MZUSP,Poor,143.8,TRUE,TRUE,TRUE
Brasil,SP,Botucatu, ,-22.86344,-48.46832,Dexosarcophaga (Dexosarcophaga) transita,, , ,Ferner,22.ii.1955, , ,Dexosarcophaga,transita,no,MZUSP,Poor,21.72,TRUE,TRUE,TRUE
Brasil,MG,Varginha, ,-21.55748,-45.40911,Dexosarcophaga (Dexosarcophaga) transita,, , ,Alvarenga,24.iv.1966, , ,Dexosarcophaga,transita,no,MZUSP,Poor,11.22,TRUE,TRUE,TRUE
Brasil,SP,Barueri, ,-23.50528,-46.87725,Dexosarcophaga (Dexosarcophaga) transita,, , ,K. Lenkoi,9.x.1955, ,"in copula, 3264",Dexosarcophaga,transita,no,MZUSP,Poor,4.57,TRUE,TRUE,TRUE
Brasil,SP,Cajuru, ,-21.27596,-47.31029,Dexosarcophaga (Farrimyia) carvalhoi,, ,C.A. Mello-Patiu,M.P. Barreto,xii.1964, , ,Dexosarcophaga,carvalhoi,no,MZUSP,Poor,14.5,TRUE,TRUE,TRUE
Brasil,SP,Santos,Praia do Itaguaré,-23.86878,-46.29151,Engelimyia inops,, ,H.S. Lopes,Rabello, , , ,Engelimyia,inops,no,MZUSP,Poor,9.45,TRUE,TRUE,TRUE
Brasil,PA,Santarém,Fazenda Taperinha,-2.4333,-54.7333,Engelimyia inops,, ,H.S. Lopes, ,xi.1969, ,Exp. Perm. Amaz.,Engelimyia,inops,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,RJ,Angra dos Reis, ,-22.98678,-44.35299,Engelimyia inops,, ,H.S. Lopes,H.S. Lopes,10.v.1971, , ,Engelimyia,inops,no,MZUSP,Poor,16.21,TRUE,TRUE,TRUE
Brasil,ES,Itaguaçu, ,-19.72844,-40.86457,Engelimyia inops,, ,H.S. Lopes,P.C. Elias,x.1970, , ,Engelimyia,inops,no,MZUSP,Poor,13.05,TRUE,TRUE,TRUE
Brasil,PR,Castro, ,-24.79961,-49.84167,Helicobia aurescens,, ,H.S. Lopes,H.S. Lopes,9.1.1972, , ,Helicobia,aurescens,no,MZUSP,Poor,28.39,TRUE,TRUE,TRUE
Brasil,SC,Lages, ,-28.02012,-50.34086,Helicobia aurescens,, ,H.S. Lopes,H.S. Lopes,13.i.1972, , ,Helicobia,aurescens,no,MZUSP,Poor,28.94,TRUE,TRUE,TRUE
Brasil,RJ,Nova Friburgo,Mury,-22.2819,-42.5311,Helicobia aurescens,, ,H.S. Lopes,Gred & Guimarães,12.xi.1970, , ,Helicobia,aurescens,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,PR, ,Rio Negro,-26.1058,-49.7975,Helicobia aurescens,, ,H.S. Lopes,H.S. Lopes,12.i.1972, , ,Helicobia,aurescens,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
